Graph,Component,Freq,Layer,Metric,Time,Power,Freq_Host
alex,L,4,7,task,4.1194,3965.166666666669,
alex,L,4,7,out,0.3439,,
alex,L,4,7,trans,,,
alex,L,5,0,in,34.2347,3520.55337037037,
alex,L,5,0,task,17.6423,5315.269696969697,
alex,L,5,0,out,,,
alex,L,5,0,trans,0.0,,
alex,L,5,1,in,,,
alex,L,5,1,task,26.7299,5846.318954248367,
alex,L,5,1,out,,,
alex,L,5,1,trans,,,
alex,L,5,2,in,,,
alex,L,5,2,task,10.2359,4933.523809523812,
alex,L,5,2,out,,,
alex,L,5,2,trans,,,
alex,L,5,3,in,,,
alex,L,5,3,task,9.0924,4674.5347619047625,
alex,L,5,3,out,,,
alex,L,5,3,trans,,,
alex,L,5,4,in,,,
alex,L,5,4,task,7.0225,4488.8116666666665,
alex,L,5,4,out,,,
alex,L,5,4,trans,,,
alex,L,5,5,in,,,
alex,L,5,5,task,36.4971,4954.045181159419,
alex,L,5,5,out,,,
alex,L,5,5,trans,,,
alex,L,5,6,in,,,
alex,L,5,6,task,15.5658,4841.259090909091,
alex,L,5,6,out,,,
alex,L,5,6,trans,,,
alex,L,5,7,in,,,
alex,L,5,7,task,4.09,4154.399999999999,
alex,L,5,7,out,0.3058,,
alex,L,5,7,trans,,,
alex,B,0,0,in,61.2754,3300.6996418288245,
alex,B,0,0,task,82.8549,3629.7416667118177,
alex,B,0,0,out,,,
alex,B,0,0,trans,0.0,,
alex,B,0,1,in,,,
alex,B,0,1,task,116.1498,3704.32855885369,
alex,B,0,1,out,,,
alex,B,0,1,trans,,,
alex,B,0,2,in,,,
alex,B,0,2,task,43.9002,3556.8591121167183,
alex,B,0,2,out,,,
alex,B,0,2,trans,,,
alex,B,0,3,in,,,
alex,B,0,3,task,32.0625,3605.608554376559,
alex,B,0,3,out,,,
alex,B,0,3,trans,,,
alex,B,0,4,in,,,
alex,B,0,4,task,22.5328,3612.857540045767,
alex,B,0,4,out,,,
alex,B,0,4,trans,,,
alex,B,0,5,in,,,
alex,B,0,5,task,82.5899,3871.2631769803925,
alex,B,0,5,out,,,
alex,B,0,5,trans,,,
alex,B,0,6,in,,,
alex,B,0,6,task,35.9834,3851.3721153846154,
alex,B,0,6,out,,,
alex,B,0,6,trans,,,
alex,B,0,7,in,,,
alex,B,0,7,task,9.4839,3721.0164682539685,
alex,B,0,7,out,0.751,,
alex,B,0,7,trans,,,
alex,B,1,0,in,41.5877,3394.1527493775648,
alex,B,1,0,task,53.4851,3878.515142031296,
alex,B,1,0,out,,,
alex,B,1,0,trans,0.0,,
alex,B,1,1,in,,,
alex,B,1,1,task,80.3011,3944.1324122692154,
alex,B,1,1,out,,,
alex,B,1,1,trans,,,
alex,B,1,2,in,,,
alex,B,1,2,task,33.7706,3681.426681671792,
alex,B,1,2,out,,,
alex,B,1,2,trans,,,
alex,B,1,3,in,,,
alex,B,1,3,task,24.4787,3746.8674388062923,
alex,B,1,3,out,,,
alex,B,1,3,trans,,,
alex,B,1,4,in,,,
alex,B,1,4,task,17.2461,3757.5512945551177,
alex,B,1,4,out,,,
alex,B,1,4,trans,,,
alex,B,1,5,in,,,
alex,B,1,5,task,56.5546,4152.215398218538,
alex,B,1,5,out,,,
alex,B,1,5,trans,,,
alex,B,1,6,in,,,
alex,B,1,6,task,24.7084,4109.110614465085,
alex,B,1,6,out,,,
alex,B,1,6,trans,,,
alex,B,1,7,in,,,
alex,B,1,7,task,6.4946,3857.925,
alex,B,1,7,out,0.5153,,
alex,B,1,7,trans,,,
alex,B,2,0,in,30.6563,3526.239372132697,
alex,B,2,0,task,39.418,4185.693487726833,
alex,B,2,0,out,,,
alex,B,2,0,trans,0.0,,
alex,B,2,1,in,,,
alex,B,2,1,task,59.5264,4287.92816089879,
alex,B,2,1,out,,,
alex,B,2,1,trans,,,
alex,B,2,2,in,,,
alex,B,2,2,task,28.4869,3830.3782146542817,
alex,B,2,2,out,,,
alex,B,2,2,trans,,,
alex,B,2,3,in,,,
alex,B,2,3,task,20.6357,3907.1494430079706,
alex,B,2,3,out,,,
alex,B,2,3,trans,,,
alex,B,2,4,in,,,
