Num_iterations,PE,Freq,NextFreq,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,AVG
20000000,Big,6,5,426923,426296,425741,425196,424759,424316,424249,424241,424389,426882,425299
20000000,Big,5,6,376364,375734,375367,374878,374382,373930,373733,373521,373619,376403,374793
20000000,Big,4,7,336555,335899,336368,335043,334819,334372,334751,333659,333744,336656,335187
20000000,Big,3,0,1479330,1480350,1477210,1477380,1477270,1479540,1476880,1476880,1476890,1477460,1477920
20000000,Big,2,1,1003320,1003400,1003110,1003160,1003060,1003200,1002940,1002920,1003460,1004640,1003320
20000000,Big,1,2,738876,738878,737043,737199,737111,736874,736866,736879,736788,739763,737628
20000000,Big,0,3,598608,597676,597116,596330,596342,596474,596304,596218,596309,598584,596996
20000000,Big,7,5,426456,426300,425780,425377,424755,424244,424341,424249,424244,426939,425268
20000000,Big,6,4,503241,502689,501892,501266,500859,500723,500960,500805,500739,513262,502644
20000000,Big,5,7,336684,334816,335640,335184,334781,334395,334075,333705,333655,336614,334955
20000000,Big,4,6,376396,376003,375217,374787,374381,374020,373540,373536,373709,376361,374795
20000000,Big,3,1,1003440,1003070,1003160,1003000,1003340,1003500,1003360,999988,1002870,1003260,1002900
20000000,Big,2,0,1479630,1477170,1477160,1477080,1477660,1477430,1477020,1476970,1478980,1478060,1477720
20000000,Big,1,3,598429,597855,597106,596445,596480,596390,596458,596651,596411,598524,597075
20000000,Big,0,2,738927,737829,737074,737030,737154,737111,736941,736858,736877,739045,737485
20000000,Big,7,6,376383,375751,375394,374795,374358,373984,375623,373532,373541,376522,374988
20000000,Big,6,7,336611,336147,335540,334291,334866,334448,334005,333662,333688,336692,334995
20000000,Big,5,4,503286,502492,501914,501354,500728,500778,500817,500720,500771,503193,501605
20000000,Big,4,5,426836,426155,425870,425180,424743,424356,424312,424236,424305,427847,425384
20000000,Big,3,2,738859,739389,737003,736888,736881,737109,736872,736871,737080,738992,737594
20000000,Big,2,3,598567,597688,597048,596295,596397,596251,596350,596204,596333,598349,596948
20000000,Big,1,0,1477460,1484060,1477680,1477500,1477110,1480330,1484150,1476890,1476880,1479460,1479150
20000000,Big,0,1,1003100,1003100,1005060,1003160,1002940,1002980,1003040,1003000,1002920,1003320,1003260
20000000,Big,7,7,336677,336086,335594,335145,334778,334372,334039,333661,333713,336528,335059
20000000,Big,6,6,376371,375816,375260,374788,374436,373944,373529,373679,373620,376359,374780
20000000,Big,5,5,427138,426295,425690,425391,424743,424259,424363,423745,424289,426975,425289
20000000,Big,4,4,503326,502640,501836,501246,500926,501913,500710,500807,500690,503183,501728
20000000,Big,3,3,598511,597836,596988,596442,596254,596447,596223,596257,596224,600319,597150
20000000,Big,2,2,739001,738194,737165,737048,737175,736970,737113,732784,736990,738839,737128
20000000,Big,1,1,1003900,1003120,1003680,1003000,1003000,1002980,1003090,1003180,1002930,1004690,1003360
20000000,Big,0,0,1477250,1477130,1477160,1482770,1479180,1477390,1477180,1476920,1477540,1478070,1478060
20000000,Little,5,2,1157210,1156190,1155050,1155110,1154990,1154920,1155690,1157230,1157270,1157270,1156090
20000000,Little,4,3,937232,936273,935262,934674,934591,934441,934552,937228,937126,937214,935859
20000000,Little,3,4,786788,786968,786669,785471,784783,784850,784719,787712,787707,787723,786339
