,Num_iterations,PE,Freq,NextFreq,T1,AVG,Delay
87,20000000,Little,0,2,1157280.0,1157280.0,4468.078744768433
88,20000000,Little,5,4,784799.0,784799.0,393.6679619098444
89,20000000,Little,4,5,665556.0,665556.0,4005.306939279222
90,20000000,Little,3,2,1155110.0,1155110.0,-296.76419489314986
91,20000000,Little,2,3,935407.0,935407.0,4275.422614754433
92,20000000,Little,1,0,2315880.0,2315880.0,803.163243359501
93,20000000,Little,0,1,1572560.0,1572560.0,684.9892461555006
94,20000000,Little,5,5,664944.0,664944.0,0.0
95,20000000,Little,4,4,784870.0,784870.0,0.0
96,20000000,Little,3,3,934591.0,934591.0,0.0
97,20000000,Little,2,2,1155040.0,1155040.0,0.0
98,20000000,Little,1,1,1572340.0,1572340.0,0.0
99,20000000,Little,0,0,2316260.0,2316260.0,0.0
100,20000000,GPU,4,3,152664.0,152664.0,-230.78957915831663
101,20000000,GPU,3,4,115590.0,115590.0,1736.8848096192385
102,20000000,GPU,4,2,228289.0,228289.0,-290.8697270471464
103,20000000,GPU,2,4,116462.0,116462.0,2622.7330024813896
104,20000000,GPU,4,1,303314.0,303314.0,-71.04578959124413
105,20000000,GPU,1,4,116710.0,116710.0,2492.86888541434
106,20000000,GPU,3,0,453707.0,453707.0,71.92338179645489
107,20000000,GPU,2,1,303418.0,303418.0,-667.0862036864644
108,20000000,GPU,1,2,228592.0,228592.0,2370.939489852914
109,20000000,GPU,0,3,153908.0,153908.0,1987.0770464050986
110,20000000,GPU,3,1,303348.0,303348.0,-151.97199370555543
111,20000000,GPU,2,0,454422.0,454422.0,-578.4776815957847
112,20000000,GPU,1,3,153721.0,153721.0,2278.881979164592
113,20000000,GPU,0,2,229223.0,229223.0,2449.6532179149417
114,20000000,GPU,4,0,454342.0,454342.0,-167.6361574914744
115,20000000,GPU,0,4,116892.0,116892.0,2315.576633154701
116,20000000,GPU,3,2,228032.0,228032.0,-56.653079626069086
117,20000000,GPU,2,3,153386.0,153386.0,2409.589445070609
118,20000000,GPU,1,0,453973.0,453973.0,-249.56058705219348
119,20000000,GPU,0,1,303131.0,303131.0,-201.8432204233626
120,20000000,GPU,4,4,115164.0,115164.0,0.0
121,20000000,GPU,3,3,152589.0,152589.0,0.0
122,20000000,GPU,2,2,228004.0,228004.0,0.0
123,20000000,GPU,1,1,303198.0,303198.0,0.0
124,20000000,GPU,0,0,453849.0,453849.0,0.0
