graph,order,freq,input_time,task_time,total_time,input_power,task_power,input_e,task_e,total_e
alex,GLGLLGGB,"((4, 4), (0,), (1, 0), (4,), (4,), (3, 2), (2, 7), (6,))",16.9825,191.63861000000003,208.62111,4528.338598623598,4418.22644386731,76.90251025112526,846.7027743679745,923.6052846190996
alex,GLGLLGGB,"((3, 6), (5,), (3, 6), (2,), (0,), (1, 0), (3, 6), (3,))",14.4222,156.79386,171.21606,4683.73933982684,4824.14993927664,67.54982550685064,756.39709019795,823.9469157048006
alex,GLGLLGGB,"((0, 1), (3,), (2, 0), (3,), (0,), (1, 4), (1, 6), (1,))",34.6318,201.59135,236.22315,3468.984825675723,4257.432490713988,120.1371886858365,858.2615633368953,978.3987520227316
alex,GLGLLGGB,"((0, 5), (0,), (4, 3), (1,), (5,), (3, 5), (0, 3), (7,))",14.7911,229.29227,244.08337,4523.501843434343,4201.32098382746,66.90756811642171,963.3304253804316,1030.2379934968533
alex,GLGLLGGB,"((0, 3), (5,), (1, 5), (3,), (5,), (4, 5), (1, 0), (1,))",21.7908,178.05208000000002,199.84288,3728.664232287321,4686.612242949524,81.25057655292655,834.4610580106281,915.7116345635546
alex,GLGLLGGB,"((1, 0), (2,), (2, 3), (1,), (4,), (2, 2), (1, 2), (5,))",49.1326,188.57286,237.70546,3421.7697478010973,4272.177371213968,168.1204443108122,805.6167053170997,973.737149627912
alex,GLGLLLLG,"((4, 6), (3,), (4, 2), (1,), (4,), (3,), (2,), (3, 6))",13.4913,150.94603,164.43733,4827.75654040404,4806.614873901022,65.13271181355303,725.53943295431,790.672144767863
alex,GLGLLLLG,"((4, 3), (5,), (0, 1), (4,), (2,), (2,), (5,), (1, 5))",20.5857,168.4391,189.0248,4072.544366744366,4705.218479455385,83.8361765704895,792.5427659828335,876.378942553323
alex,GLGLLLLG,"((3, 5), (5,), (3, 7), (3,), (0,), (1,), (2,), (4, 2))",17.019,153.78638999999998,170.80539,4318.9150987900975,4757.605918174188,73.50361606630867,731.6550391986436,805.1586552649524
alex,GLGLLLLG,"((1, 5), (0,), (3, 3), (2,), (1,), (3,), (0,), (0, 5))",15.3025,235.6716,250.9741,4250.270732323233,4068.735561684961,65.03976788137626,958.8854197991936,1023.9251876805698
alex,GLGLLLLG,"((2, 1), (0,), (1, 0), (5,), (0,), (3,), (5,), (4, 3))",33.618,225.68762000000004,259.30562000000003,3573.131979331031,4123.07620395174,120.1215508811506,930.527255548503,1050.6488064296536
alex,GLGLLLLG,"((2, 5), (3,), (1, 4), (5,), (5,), (1,), (0,), (3, 4))",15.5608,172.66424999999998,188.22505,4292.179040404039,4437.891879199113,66.78973961191917,766.2652729030053,833.0550125149246
alex,GLGLLLLG,"((2, 2), (0,), (0, 4), (1,), (0,), (5,), (0,), (2, 7))",26.0472,255.7137,281.7609,3738.692191229395,4022.633460356458,97.3824632433903,1028.6424858915534,1126.0249491349437
alex,GLGLLLLG,"((1, 0), (1,), (1, 3), (3,), (3,), (1,), (5,), (3, 2))",50.0349,201.41764,251.45254,3393.0759528846365,4178.990851395001,169.7722159949875,841.7224748695719,1011.4946908645594
alex,GLGLLLLG,"((3, 7), (3,), (0, 5), (1,), (3,), (2,), (2,), (2, 5))",12.7249,183.696,196.4209,4938.126219336219,4397.5851942787,62.837162328431454,807.8188098482201,870.6559721766515
alex,GLGLLLLG,"((4, 7), (2,), (1, 4), (1,), (1,), (4,), (5,), (0, 7))",12.0922,186.1371,198.2293,5243.278373015873,4509.7051597461295,63.40277074218253,839.4234402901814,902.826211032364
alex,BBGGGBLB,"((6,), (5,), (0, 0), (3, 5), (4, 6), (6,), (5,), (4,))",15.2525,180.03209,195.28459,4537.685398490398,5180.657321007902,69.2110465404748,932.6845650748536,1001.8956116153284
alex,BBGGGBLB,"((2,), (0,), (1, 4), (0, 0), (4, 2), (4,), (0,), (7,))",28.932,297.72133,326.65333,3822.7555442179937,4062.316036282305,110.599963405315,1209.438133202296,1320.0380966076111
alex,BBGGGBLB,"((4,), (1,), (0, 4), (4, 7), (1, 7), (2,), (5,), (5,))",19.9825,246.57981,266.56231,4115.256747419247,4330.888461883215,82.2331179553051,1067.9096540623557,1150.1427720176605
alex,BBGGGBLB,"((1,), (4,), (0, 3), (2, 0), (0, 7), (7,), (0,), (0,))",40.9338,249.1629000000001,290.09670000000006,3441.682188865884,4450.597915101681,140.8811303825983,1108.923883260689,1249.805013643287
alex,BBGGGBLB,"((0,), (4,), (3, 2), (3, 0), (2, 3), (1,), (1,), (1,))",60.1024,250.27112,310.37352,3343.644183096912,4236.836244992723,200.96104015016385,1060.3577522909231,1261.318792441087
alex,BBGGGBLB,"((7,), (1,), (1, 6), (4, 7), (3, 6), (5,), (2,), (0,))",15.6636,215.6328,231.2964,4748.630949883449,4739.08045558691,74.38065574659439,1021.901188063481,1096.281843810075
alex,BBGGGBLB,"((6,), (4,), (4, 2), (4, 2), (0, 5), (4,), (5,), (0,))",17.0809,176.64589999999998,193.7268,4401.174676434676,5089.890615852263,75.17602453071305,899.1083087387772,974.2843332694902
alex,BBGGGBLB,"((0,), (6,), (3, 2), (4, 7), (4, 5), (3,), (4,), (3,))",58.3974,210.68473,269.08213,3376.4873141215,4702.192091536905,197.17808027767887,990.680071213588,1187.8581514912669
alex,BBGGGBLB,"((4,), (5,), (2, 2), (1, 2), (2, 1), (2,), (0,), (3,))",20.5947,199.1778,219.7725,3985.714879564878,4638.026994388487,82.0846022301748,923.7920130829112,1005.876615313086
alex,BBGGGBLB,"((5,), (0,), (1, 4), (3, 2), (4, 7), (3,), (5,), (1,))",18.6954,260.05837,278.75377000000003,4182.653441558444,4313.849177668333,78.19637915131173,1121.8525855702671,1200.0489647215788
alex,BBGLGGGG,"((1,), (5,), (4, 7), (3,), (2, 5), (2, 3), (0, 3), (0, 0))",42.1507,216.3086,258.4593,3448.3903387305577,4513.620163661784,145.3520666507301,976.3348585334512,1121.6869251841815
alex,BBGLGGGG,"((4,), (7,), (3, 3), (0,), (2, 5), (2, 3), (0, 7), (2, 3))",21.0034,188.6971,209.7005,3971.2959935897456,4958.652919223012,83.41071827176286,935.6834257639166,1019.0941440356796
