,Time,Power
0,1902.6311952154408,3376.0539141652534
1,209.9303244503936,5150.7784350662205
2,1902.6311952154408,3376.0539141652534
3,220.71064609253486,4879.114485589748
4,215.11256636748612,5093.3651344253685
5,227.432978989976,4676.884545167888
6,225.71614858577766,4835.241391922254
7,592.5187848090728,3649.1798429765854
8,1247.5089100980522,3487.7147142085482
9,242.74236826757598,4504.504871288157
10,242.6423392869151,4594.4955118844555
11,1860.1569597284006,3379.6001547508795
12,1773.7660990712363,3392.7203297069937
13,301.83916637936437,4197.371265016368
14,283.02431126560947,4298.206841785152
15,448.4500478745171,3880.5200047736807
16,638.9704100367306,3630.205140669329
17,836.6576033197892,3537.1646313367833
18,1188.6727014507048,3488.166036682536
19,453.3941363807518,3819.4758436127145
20,860.3063009872897,3527.5856326318917
21,1175.2186266071535,3493.3524502248847
22,1569.1535777367133,3421.510884009175
23,1120.0433951916227,3493.673302268882
24,554.7357994851525,3670.9870202598468
25,1707.9742482057732,3393.2596326246407
26,548.9976522072773,3720.165244764334
27,1773.7460909545518,3392.8487495327868
28,1063.11144168114,3500.3789395711765
29,994.7852678690879,3506.8381502907832
30,744.5091359425114,3559.8789669179005
31,344.6994991698921,4075.8186521880325
32,1106.4887426694015,3497.7217783362507
33,435.9137026648698,3900.71405668262
34,268.341094955167,4340.03379137773
35,247.66598180927843,4473.1528525548165
36,316.48562617166306,4173.333689897233
37,1578.5660195276582,3411.6749817005643
38,530.5391144575456,3730.6245187669
39,1620.7810778840906,3408.583550249817
40,291.7306776642564,4250.402867028424
41,1528.9801416314353,3436.293007970104
42,1665.4957238494528,3397.914223274314
43,787.2795478276898,3540.304009397791
44,266.0614765507007,4389.244347326268
45,688.6812233068357,3613.970989441326
46,261.1912534189469,4438.672768846543
47,291.7306776642564,4250.402867028424
48,1033.2799665158764,3506.0748313789636
49,342.352648802007,4096.310891120729
50,366.89431230702087,4055.192382673682
51,1342.4878817273816,3480.109651832707
52,269.16249819381045,4327.203702882716
53,1342.330006251499,3480.2709406719596
54,242.01111316138446,4611.796886785285
55,1293.867300125676,3484.702624873252
56,411.76573183977666,3919.3850205419085
57,375.5733183883386,3976.315653662104
58,214.0728351347102,5115.759848889487
59,1293.7496747710709,3484.802048534964
60,389.596899376106,3957.880505342142
61,1458.2823004016907,3454.4976425668165
62,970.1284023925109,3515.462394762932
63,732.0513630480101,3594.110631896249
64,1618.7474804323178,3411.0742590248365
65,1417.9882000189325,3457.2808287083676
66,926.82409658121,3516.123904621386
67,1901.0495514216225,3377.260957775846
68,1486.9335993404275,3439.9485209534478
69,370.65126903328917,4037.059519146008
70,1666.1430804994216,3395.7136009802434
71,370.66076050117636,3993.674242863458
72,394.1508979035345,3944.28833713199
73,900.9588980129586,3526.987266769569
74,1860.6267803788937,3377.879380963611
75,1526.8472352612741,3438.8201166349572
76,1384.5529361445226,3467.2666010299645
77,458.0525127194161,3810.3761536182938
78,505.50952718721726,3736.97950208739
79,413.5466544301672,3909.287871210184
80,1402.711405611303,3467.06080053161
81,1706.2787464529708,3395.419280254728
82,660.5409446896144,3618.003913645912
83,549.8916528587797,3679.0601281631107
84,321.68247393808196,4141.1162814908
85,228.3060042799247,4660.556720544127
86,1460.1002491564407,3452.736411202216
87,1486.4006038604466,3442.1814183786514
88,265.1550160574231,4397.071444405552
89,484.6773789409277,3758.465467034594
90,210.2017250142078,5144.806893651227
91,340.96345633076584,4130.1717121096635
92,232.27695823690453,4639.115692889808
93,901.9322937491784,3526.4766721901756
94,320.2381222979357,4153.752855450743
95,1046.7786376709062,3502.9995276040713
96,224.9295812732938,4854.365321786628
97,767.8385072648503,3548.2559284290965
98,243.53836642231954,4485.296399915318
99,926.7434066617312,3516.159898037592
