Num_iterations,PE,Freq,NextFreq,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,AVG
800,Little,0,1,619,2335,713,2558,996,2929,1444,357,1820,533,1430.4
800,Little,1,0,2976,2509,270,1792,1320,275,408,303,269,2375,1249.7
800,Little,2,3,194,1463,2176,3109,748,1797,2969,457,1853,2748,1751.4
800,Little,3,2,1992,1722,897,260,3107,2753,2062,1686,980,496,1595.5
800,Little,4,5,292,1734,3342,1310,2723,801,2248,3769,1788,4069,2207.6
800,Little,5,4,1317,413,2580,1535,506,2902,1840,826,6558,2185,2066.2
800,Little,0,2,2270,4451,4344,4385,1382,2430,564,4376,995,4452,2964.9
800,Little,1,3,1315,4189,1372,4151,4151,4098,4151,4137,2048,4143,3375.5
800,Little,2,0,252,307,305,304,305,305,304,304,255,304,294.5
800,Little,3,1,725,292,1815,648,291,1608,293,2511,1310,284,977.7
800,Little,0,3,2452,4399,857,4405,2268,2636,3399,4368,4426,4366,3357.6
800,Little,1,2,4137,282,1920,225,1808,4181,1729,310,4145,299,1903.6
800,Little,2,1,291,1918,635,2630,1311,349,2255,823,2894,1614,1472
800,Little,3,0,300,301,300,301,300,299,298,299,296,298,299.2
800,Little,0,4,2516,4407,4400,4413,4394,2372,4294,4371,3333,4398,3889.8
800,Little,1,5,4233,4210,4172,4307,4214,4177,4195,4208,4204,4210,4213
800,Little,4,0,292,291,294,294,294,294,299,295,291,294,293.8
800,Little,5,1,133,146,180,147,1067,142,133,146,157,133,238.4
800,Little,0,5,4343,4401,4393,4387,4327,4390,4377,4391,4407,4398,4381.4
800,Little,1,4,4191,4156,3784,4316,4258,4182,4159,4115,4197,4259,4161.7
800,Little,4,1,271,363,270,270,271,271,270,271,263,270,279
800,Little,5,0,300,301,297,303,302,300,302,298,305,305,301.3
800,Little,2,4,608,1792,4132,406,1260,2209,216,941,2207,2945,1671.6
800,Little,3,5,3033,604,1489,4007,184,896,1836,2769,336,1244,1639.8
800,Little,4,2,256,562,239,257,2515,1990,1574,1036,521,113,906.3
800,Little,5,3,3002,1491,182,1953,439,2234,731,2559,4517,2973,2008.1
800,Little,2,5,525,733,1190,1483,2662,7025,900,1493,1634,1828,1947.3
800,Little,3,4,4002,1356,3017,1301,2939,1220,2849,1432,4027,1512,2365.5
800,Little,4,3,2706,1125,2936,1346,257,1618,113,257,351,2258,1296.7
800,Little,5,2,132,284,131,2608,2398,132,1417,1072,781,350,930.5
800,Big,0,1,18603,234,234,234,3635,877,220,2013,220,3749,3001.9
800,Big,1,0,144,6701,159,2450,2068,1567,1047,1045,491,155,1582.7
800,Big,2,3,1103,538,3364,2580,2129,1411,816,241,3138,2594,1791.4
800,Big,3,2,3313,6294,122,2419,122,1668,1126,891,570,159,1668.4
800,Big,4,5,3239,2834,3252,1426,2285,3280,694,4909,2430,100,2444.9
800,Big,5,4,1569,898,204,2883,2194,1530,874,216,2889,2169,1542.6
800,Big,6,7,2134,2237,3191,3231,3182,3205,3024,3268,93,198,2376.3
800,Big,7,6,3215,3098,101,1847,1332,612,112,92,2650,2055,1511.4
800,Big,0,2,3655,1801,2636,3669,3684,3648,241,3679,3698,282,2699.3
800,Big,1,3,3454,265,1971,3490,2426,3463,3458,3464,3479,3238,2870.8
800,Big,2,0,154,4450,153,154,248,246,154,2588,154,26230,3453.1
800,Big,3,1,12446,648,16765,2315,4920,711,190,131,1673,7497,4729.6
800,Big,4,6,7503,2702,1294,3334,1725,290,2205,7479,2667,1226,3042.5
800,Big,5,7,3264,1778,1574,1344,1135,926,3262,535,316,3273,1740.7
800,Big,6,4,1369,738,119,2796,102,1483,858,233,2916,102,1071.6
800,Big,7,5,1863,3384,2115,170,1585,2961,1022,2431,102,1879,1751.2
800,Big,0,3,3706,2472,6822,3581,3703,2602,3879,3671,2360,3141,3593.7
800,Big,1,2,3457,638,2452,1049,3008,1605,265,3437,872,2793,1957.6
800,Big,2,1,2881,1995,1313,289,2754,150,150,201,2713,1842,1428.8
800,Big,3,0,123,148,32924,142,147,148,148,147,150,147,3422.4
800,Big,4,7,2995,3342,1700,3332,486,2635,3350,3339,3341,3339,2785.9
800,Big,5,6,1558,4151,3208,2067,1097,112,2463,1494,712,6505,2336.7
800,Big,6,5,1488,2885,953,2350,440,1847,3216,65,2730,793,1676.7
800,Big,7,4,1559,902,282,2968,102,93,102,99,101,2602,881
800,Big,0,4,3734,3720,3708,4513,1709,3704,3709,3710,3698,3699,3590.4
800,Big,1,5,3232,3257,3534,3499,3573,3509,3637,3516,3558,3516,3483.1
800,Big,2,6,1377,2305,3441,929,2406,148,1106,2258,3150,789,1790.9
800,Big,3,7,2615,1593,3393,2908,1901,3383,3400,3417,3392,3394,2939.6
800,Big,4,0,143,145,145,147,1964,147,148,143,144,147,327.3
800,Big,5,1,113,112,3166,113,2621,93,1437,846,112,104,871.7
800,Big,6,2,93,3160,2863,2527,2212,1914,1617,1338,1096,827,1764.7
800,Big,7,3,102,382,548,102,826,893,4503,1247,1434,100,1013.7
800,Big,0,5,2118,3541,3781,3735,3612,3508,3739,3932,3737,3554,3525.7
800,Big,1,4,3481,3470,3460,3512,3460,3496,3123,3506,3516,3560,3458.4
800,Big,2,7,3493,427,3493,358,3481,781,3424,3494,6396,3482,2882.9
800,Big,3,6,1106,2565,774,2262,3336,1969,135,1593,3081,1217,1803.8
800,Big,4,1,454,117,117,3071,118,1556,118,118,117,117,590.3
800,Big,5,0,2651,126,2859,140,2704,142,2132,124,127,124,1112.9
800,Big,6,3,436,496,571,639,744,805,102,1038,101,1337,626.9
800,Big,7,2,101,91,100,102,1822,101,100,102,100,101,272
800,Big,0,6,3763,3767,3771,3779,3510,3594,3348,3767,3764,1691,3475.4
800,Big,1,7,3602,3371,3601,3596,3042,3584,3579,3682,3579,3581,3521.7
800,Big,2,4,1819,166,1661,3355,1466,3227,1309,2972,3388,2630,2199.3
800,Big,3,5,473,880,1286,1700,2083,2475,2881,119,376,790,1306.3
800,Big,4,2,1143,107,396,108,3203,6135,2569,12361,1891,1575,2948.8
800,Big,5,3,1958,103,2101,2206,2289,103,2447,2484,2507,2695,1889.3
800,Big,6,0,125,124,123,126,127,128,123,126,124,126,125.2
800,Big,7,1,102,2423,102,102,101,102,101,102,102,107,334.4
800,Big,0,7,3808,2678,3849,3810,3821,3813,3745,3811,3808,3823,3696.6
800,Big,1,6,3549,3585,3564,3548,3576,2524,3633,3548,3541,3551,3461.9
800,Big,2,5,3416,4347,2333,2072,3414,3400,1765,1807,1750,1477,2578.1
800,Big,3,4,3281,1640,331,2430,1316,105,2151,940,3285,1783,1726.2
