Num_iterations,PE,Freq,NextFreq,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,AVG
256,Big,0,1,15167,204167,204500,204458,204750,204459,204750,275334,204542,204792,192692
256,Little,5,2,135042,121917,121916,121625,121625,121625,123667,174417,121625,121916,128538
256,Little,4,3,44625,121625,121625,160709,121333,121333,121334,34125,121917,121333,108996
256,Little,3,4,1.30638e+06,1.33729e+06,1.3055e+06,1.30725e+06,1.3055e+06,1.30667e+06,1.30083e+06,1.30638e+06,1.30433e+06,1.31075e+06,1.30909e+06
256,Little,2,5,1.41779e+06,1.26467e+06,1.232e+06,1.40817e+06,1.67125e+06,1.31075e+06,1.40846e+06,1.34021e+06,1.40846e+06,1.40875e+06,1.38705e+06
256,Little,5,3,121625,121625,122209,121917,121625,121625,121917,29750,122208,121625,112613
256,Little,4,2,135333,34125,135625,135041,135625,121625,231875,121625,135042,135625,132154
256,Little,3,5,1.31629e+06,1.31833e+06,1.33262e+06,1.32854e+06,1.32446e+06,1.32096e+06,1.31746e+06,1.35246e+06,1.33117e+06,1.32563e+06,1.32679e+06
256,Little,2,4,1.39271e+06,1.39067e+06,1.41575e+06,1.24717e+06,1.37754e+06,1.37754e+06,1.37754e+06,1.38804e+06,1.15588e+06,1.38104e+06,1.35039e+06
256,Little,5,0,154000,154875,160417,155750,154875,157500,158959,137375,159250,157792,155079
256,Little,4,1,151375,152250,145834,151958,204750,159541,152834,152250,151958,151958,157471
256,Little,1,4,1.50767e+06,1.526e+06,1.50675e+06,1.52454e+06,1.50967e+06,1.524e+06,1.50792e+06,1.52571e+06,1.50762e+06,1.35217e+06,1.4992e+06
256,Little,0,5,1.81154e+06,1.65258e+06,1.55517e+06,1.81796e+06,1.8165e+06,1.56254e+06,1.55488e+06,1.86613e+06,1.82058e+06,1.56508e+06,1.7023e+06
256,Little,5,1,137375,138250,137375,152833,137666,153417,137375,137666,137375,137959,140729
256,Little,4,0,152250,153416,199791,151958,152250,151667,152542,152542,151959,152250,157062
256,Little,1,5,1.53008e+06,1.36471e+06,1.52979e+06,1.52921e+06,1.47554e+06,1.35275e+06,1.54525e+06,1.53212e+06,1.54496e+06,1.52979e+06,1.49342e+06
256,Little,0,4,1.78179e+06,1.78179e+06,1.78938e+06,1.79754e+06,1.88738e+06,1.72258e+06,1.87542e+06,1.78158e+06,1.61992e+06,1.78121e+06,1.78186e+06
