Num_iterations,PE,Freq,NextFreq,T1,AVG
256,Big,7,0,114334,114334
256,Big,6,1,49291,49291
256,Big,5,2,98000,98000
256,Big,4,3,108209,108209
256,Big,3,4,3.2655e+06,3.2655e+06
256,Big,2,5,3.4475e+06,3.4475e+06
256,Big,1,6,3.55717e+06,3.55717e+06
256,Big,0,7,3.77213e+06,3.77213e+06
256,Big,7,1,93334,93334
256,Big,6,0,111416,111416
256,Big,5,3,97708,97708
256,Big,4,2,108791,108791
256,Big,3,5,3.32908e+06,3.32908e+06
256,Big,2,4,3.34862e+06,3.34862e+06
256,Big,1,7,3.563e+06,3.563e+06
256,Big,0,6,3.75142e+06,3.75142e+06
256,Big,7,2,92459,92459
256,Big,6,3,9042,9042
256,Big,5,0,121625,121625
256,Big,4,1,120750,120750
256,Big,3,6,3.39412e+06,3.39412e+06
256,Big,2,7,3.45042e+06,3.45042e+06
256,Big,1,4,3.4405e+06,3.4405e+06
256,Big,0,5,3.71058e+06,3.71058e+06
256,Big,7,3,93625,93625
256,Big,6,2,99458,99458
256,Big,5,1,97708,97708
256,Big,4,0,120166,120166
256,Big,3,7,3.437e+06,3.437e+06
256,Big,2,6,3.47608e+06,3.47608e+06
256,Big,1,5,2.93358e+06,2.93358e+06
256,Big,0,4,3.67267e+06,3.67267e+06
256,Big,7,4,87209,87209
256,Big,6,5,86042,86042
256,Big,5,6,3.06717e+06,3.06717e+06
256,Big,4,7,3.51021e+06,3.51021e+06
256,Big,3,0,132125,132125
256,Big,2,1,149042,149042
256,Big,1,2,3.46412e+06,3.46412e+06
256,Big,0,3,3.63154e+06,3.63154e+06
256,Big,7,5,87208,87208
256,Big,6,4,86333,86333
256,Big,5,7,3.23138e+06,3.23138e+06
256,Big,4,6,3.15467e+06,3.15467e+06
256,Big,3,1,132708,132708
256,Big,2,0,151375,151375
256,Big,1,3,1.48638e+06,1.48638e+06
256,Big,0,2,3.63921e+06,3.63921e+06
256,Big,7,6,87208,87208
256,Big,6,7,3.17071e+06,3.17071e+06
256,Big,5,4,97709,97709
256,Big,4,5,3.22612e+06,3.22612e+06
256,Big,3,2,109958,109958
256,Big,2,3,3.32325e+06,3.32325e+06
256,Big,1,0,138250,138250
256,Big,0,1,204208,204208
256,Little,5,2,256083,256083
256,Little,4,3,242667,242667
256,Little,3,4,3.83192e+06,3.83192e+06
256,Little,2,5,4.05971e+06,4.05971e+06
256,Little,5,3,103250,103250
256,Little,4,2,255500,255500
256,Little,3,5,3.99438e+06,3.99438e+06
256,Little,2,4,3.70096e+06,3.70096e+06
256,Little,5,0,270375,270375
256,Little,4,1,272708,272708
256,Little,1,4,3.46412e+06,3.46412e+06
256,Little,0,5,3.98767e+06,3.98767e+06
256,Little,5,1,269792,269792
256,Little,4,0,273291,273291
256,Little,1,5,4.16062e+06,4.16062e+06
256,Little,0,4,4.39483e+06,4.39483e+06
256,Little,3,0,286417,286417
256,Little,2,1,275625,275625
256,Little,1,2,3.88383e+06,3.88383e+06
256,Little,0,3,4.34933e+06,4.34933e+06
256,Little,3,1,266000,266000
256,Little,2,0,275625,275625
256,Little,1,3,4.11746e+06,4.11746e+06
256,Little,0,2,4.41208e+06,4.41208e+06
256,Little,5,4,121625,121625
256,Little,4,5,1.22938e+06,1.22938e+06
256,Little,3,2,249667,249667
256,Little,2,3,4.16354e+06,4.16354e+06
256,Little,1,0,242083,242083
256,Little,0,1,270375,270375
256,Big,7,7,4557.73,4557.73
256,Big,6,6,5116.41,5116.41
256,Big,5,5,5802.27,5802.27
256,Big,4,4,6832.73,6832.73
256,Big,3,3,8186.2,8186.2
256,Big,2,2,10054.9,10054.9
256,Big,1,1,13681.2,13681.2
256,Big,0,0,20195.6,20195.6
256,Little,5,5,9385.4,9385.4
256,Little,4,4,11071.5,11071.5
256,Little,3,3,13183.5,13183.5
256,Little,2,2,16284.8,16284.8
256,Little,1,1,22164,22164
256,Little,0,0,33150.4,33150.4
