,Num_iterations,PE,Freq,NextFreq,TimeFreq1,TimeTotal,TimeFreq2,Delay
85,20000000,Big,5,6,664980,1329890,664910,220202.3178807947
86,20000000,Big,4,7,784826,3100920,2316094,90.18769054168851
87,20000000,Big,3,0,934612,3250820,2316208,-1444467.8050026163
88,20000000,Big,2,1,1155090,2727550,1572460,-609.2405063291139
89,20000000,Big,1,2,1572470,2727990,1155520,1507.7100115074797
90,20000000,Big,0,3,596433,0,596433,-920387.5102808628
91,20000000,GPU,4,0,784812,3100860,2316048,2507749.7484382056
92,20000000,GPU,0,4,41853,0,41853,93001.82916400812
93,20000000,Little,5,1,664973,2237280,1572307,-19.785383659110746
94,20000000,Little,4,0,784879,3100910,2316031,276.15475540746274
95,20000000,Little,1,5,1572440,2238430,665990,1867.949762389681
96,20000000,Little,0,4,784813,0,784813,22.685197274790244
97,20000000,Little,3,0,934769,3250880,2316111,310.4357886693166
98,20000000,Little,2,1,1155090,2727580,1572490,-581.3212702216896
99,20000000,Little,1,2,1572410,2728030,1155620,2223.235949670461
100,20000000,Little,0,3,934704,0,934704,105.60883373892581
101,20000000,Little,3,1,934578,2506930,1572352,-105.53644303438152
102,20000000,Little,2,0,1155140,3471240,2316100,467.36582468102694
103,20000000,Little,1,3,1572350,2507610,935260,1526.3202533094745
104,20000000,Little,0,2,1155380,0,1155380,698.0383800816157
105,20000000,Big,7,7,2316320,4632590,2316270,0.0
106,20000000,Big,6,6,665030,1329890,664860,0.0
107,20000000,Big,5,5,664889,1329900,665011,0.0
108,20000000,Big,4,4,784769,1569550,784781,0.0
109,20000000,Big,3,3,934616,1869190,934574,0.0
110,20000000,Big,2,2,1155070,2310190,1155120,0.0
111,20000000,Big,1,1,1572530,3144770,1572240,0.0
112,20000000,Big,0,0,1477330,0,1477330,0.0
113,20000000,Little,5,4,664951,1449780,784829,-171.93226898887275
114,20000000,Little,4,5,784833,1450090,665257,2258.4397677793904
115,20000000,Little,3,2,934696,2089830,1155134,-441.0504335515838
116,20000000,Little,2,3,1155130,2090090,934960,1671.8373875284158
117,20000000,Little,1,0,1572520,3888500,2315980,1246.349138104771
118,20000000,Little,0,1,1572420,0,1572420,435.7438632790982
119,20000000,Little,5,5,664998,1329910,664912,0.0
120,20000000,Little,4,4,784802,1569600,784798,0.0
121,20000000,Little,3,3,934659,1869300,934641,0.0
122,20000000,Little,2,2,1155170,2310200,1155030,0.0
123,20000000,Little,1,1,1572460,3144740,1572280,0.0
124,20000000,Little,0,0,2316570,0,2316570,0.0
