Num_iterations,PE,Freq,Time
20000000,Big,7,333667
20000000,Big,6,373560
20000000,Big,5,424308
20000000,GPU,1,60281
20000000,Big,2,736966
20000000,GPU,0,87078
20000000,Big,1,1.0045e+06
20000000,GPU,3,42050
20000000,Big,4,500754
20000000,Little,5,665058
20000000,Little,4,784821
20000000,GPU,4,42127
20000000,GPU,2,48574
20000000,Big,3,596402
20000000,Little,2,1.15519e+06
20000000,Little,3,934694
20000000,Big,0,1.47762e+06
20000000,Little,1,1.57243e+06
20000000,Little,0,2.3207e+06
