graph,order,freq,input_time,task_time,output_time,total_time,input_power,task_power,input_e,task_e,output_e,total_e,power_efficiency
Google,LLLLLLLLLLL,"(('max',),)",34.6228,303.0652,0.319404,337.688,3786.3831783601,4784.75646214387,131.095187507726,1450.09317415092,1.20938593270093,1582.39774759135,0.631952365656581
Google,LLLLLLLLLLL,"(('min',),)",119.476,921.774,0.798846,1041.25,3132.36197304088,3340.4536271418,374.242079091033,3079.14330170501,2.50227483271582,3455.88765562876,0.289361258133277
Google,BBBBBBBBBBB,"(('max',),)",13.9121,150.7089,0.190546,164.621,5390.92307692308,7085.38536701346,74.9990609384615,1067.83063473869,1.02721882861538,1143.85691450577,0.874235218862205
Google,BBBBBBBBBBB,"(('min',),)",68.2359,539.2831,1.02632,607.519,3414.19012378127,3646.61725489246,232.970335867326,1966.5590577319,3.50405160783919,2203.03344520706,0.453919572658149
Google,GGGGGGGGGGG,"(('max',),)",12.266,163.082,0.402471,175.348,5430.54487179487,6294.72422364381,66.6110633974359,1026.55621584028,2.18563682509615,1095.35291606281,0.912947768098748
Google,GGGGGGGGGGG,"(('min',),)",53.3767,574.1673,1.30279,627.544,3396.51579639434,3599.18069764021,181.294804709402,2066.53186337619,4.42494681438458,2252.25161489998,0.444000125645113
Google,NNNNNNNNNNN,"(('max',),)",13.9146,12.7851,0.165054,26.6997,5002.35897435898,4593.92599067599,69.6058241846154,58.7338031833916,0.825659358153846,129.165286726161,7.74201819502842
Google,NNNNNNNNNNN,"(('min',),)",60.4497,22.656,0.618654,83.1057,3362.8951427975817,3512.8808446455505,203.28600251357096,79.58782841628958,2.0804685316722953,284.95429946153286,3.509334661346263
