graph,order,freq,input_time,task_time,output_time,total_time,input_power,task_power,input_e,task_e,output_e,total_e,power_efficiency
YOLOv3,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL,"(('max',),)",251.631,14412.469,0.430879,14664.1,3487.52631181145,3800.18399446741,877.569733367426,54770.0340145578,1.502701849707,55649.1064497749,0.017969740464791
YOLOv3,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL,"(('min',),)",871.057,26154.543,1.23148,27025.6,3098.83409871585,3346.47083225026,2699.26113352514,87525.4152803352,3.8161522158866,90228.4925660762,0.011082973588057
YOLOv3,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,"(('max',),)",102.738,4597.432,0.309633,4700.17,5182.69917539425,7171.3391997458,532.460147881654,32969.7443197657,1.60473469377485,33503.8092023411,0.029847352399862
YOLOv3,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,"(('min',),)",454.126,15688.174,1.11093,16142.3,3437.49265210798,3690.5795794801,1561.05478813119,57898.4546037307,3.81881371200632,59463.3282055739,0.016817087609742
YOLOv3,GGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGG,"(('max',),)",89.1192,5685.1508,2.96062,5774.27,5532.67924517583,6551.73037985355,493.067948186674,37247.5752104087,16.3801608268525,37757.0233194223,0.026485138712871
YOLOv3,GGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGG,"(('min',),)",388.202,19476.498,7.74314,19864.7,3490.56894314918,3791.21497679753,1355.0458448684,73839.5909131671,27.0279640064561,75221.6647220419,0.013294042397163
YOLOv3,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,"(('max',),)",100.959,337.128,0.273525,438.087,4907.518122386024,4274.008140958593,495.45812211797056,1440.8878165450883,1.342328894425637,1937.6882675574848,0.5160788846910502
YOLOv3,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,"(('min',),)",442.882,495.848,1.75403,938.73,3321.7893968894573,3733.2252442697745,1471.1607316731966,1851.1122709206793,5.826518255826015,3328.099520849702,0.300471783892054
