graph,order,freq,input_time,task_time,total_time,input_power,task_power,input_e,task_e,total_e
google,GLLBBBBBLLB,"((3, 1), (4,), (2,), (3,), (3,), (1,), (6,), (7,), (1,), (5,), (6,))",134.652,435.5854,570.2374,3404.19456193016,3860.19651084284,458.38160615302,1681.44524125409,2139.82684740711
google,GLLBBBBBLLB,"((0, 6), (0,), (5,), (3,), (4,), (1,), (1,), (4,), (2,), (2,), (6,))",133.079,439.8443,572.9233,3418.89474952953,3857.62814596349,454.983094372641,1696.75575152161,2151.73884589425
google,GLLBBBBBLLB,"((2, 7), (5,), (1,), (4,), (6,), (1,), (5,), (7,), (0,), (2,), (3,))",133.95,433.4211,567.3711,3432.03820493901,3870.25222516153,459.721517551581,1677.44897670696,2137.17049425854
google,GLLBBBBBLLB,"((0, 5), (4,), (2,), (7,), (4,), (4,), (1,), (7,), (5,), (3,), (7,))",134.697,437.0725,571.7695,3426.4392483898,3868.06104033634,461.531087440361,1690.6231090524,2152.15419649276
google,GLGGGBLGBGL,"((3, 0), (3,), (2, 5), (4, 7), (1, 3), (4,), (1,), (4, 7), (1,), (2, 6), (4,))",153.625,445.3618,598.9868,3303.2214632091,4020.46788643895,507.457397285498,1790.56281474664,2298.02021203214
google,GLGGGBLGBGL,"((1, 2), (2,), (3, 5), (2, 4), (2, 4), (2,), (1,), (1, 5), (7,), (0, 6), (2,))",153.688,450.361,604.049,3312.99054935428,4010.84230043706,509.166891549161,1806.32694926714,2315.4938408163
google,GLGGGBLGBGL,"((0, 7), (0,), (1, 1), (2, 6), (0, 0), (3,), (2,), (2, 2), (4,), (2, 5), (5,))",152.984,444.2609,597.2449,3312.23943126159,4031.0900622483,506.719637152123,1790.85569903549,2297.57533618761
google,GLGGGBLGBGL,"((2, 3), (1,), (4, 7), (0, 1), (0, 1), (0,), (0,), (1, 2), (2,), (2, 7), (0,))",153.7,449.9559,603.6559,3316.4470761455,4011.00242659137,509.737915603563,1804.7742067591,2314.51212236267
google,GLGGGBLGBGL,"((0, 1), (3,), (3, 7), (4, 5), (1, 1), (4,), (2,), (0, 7), (6,), (4, 7), (5,))",154.039,458.0961,612.1351,3322.96408578408,3992.9704255371,511.866064810094,1829.16417935389,2341.03024416398
google,GLGGGBLGBGL,"((3, 0), (0,), (0, 6), (0, 4), (4, 0), (6,), (4,), (3, 0), (6,), (0, 0), (5,))",153.701,448.1414,601.8424,3320.55390371179,4015.74444630406,510.372455554406,1799.62133820892,2309.99379376333
google,GLGGGBLGBGL,"((3, 3), (1,), (3, 2), (3, 2), (2, 7), (5,), (2,), (3, 4), (7,), (3, 4), (4,))",153.453,442.9884,596.4414,3316.13868397701,4035.52343267758,508.871429472324,1787.69006860435,2296.56149807667
google,GLGGGBLGBGL,"((1, 6), (2,), (2, 5), (3, 5), (3, 7), (6,), (2,), (3, 0), (2,), (1, 7), (3,))",153.927,451.9603,605.8873,3320.43062543058,4014.40015824629,511.103924880653,1814.34949984104,2325.45342472169
google,GLGGGBLGBGL,"((0, 2), (1,), (0, 1), (0, 5), (2, 2), (4,), (1,), (4, 6), (5,), (0, 0), (2,))",153.747,450.7394,604.4864,3319.98408026271,4023.40212982723,510.437592388151,1813.50586195705,2323.9434543452
google,GLGGGBLGBGL,"((3, 6), (2,), (4, 1), (1, 4), (1, 4), (4,), (1,), (4, 2), (1,), (2, 6), (2,))",153.5,443.1862,596.6862,3323.31012650408,4033.61181759754,510.128104418377,1787.64109371615,2297.76919813452
google,GGGGLGBBGLB,"((3, 2), (3, 0), (4, 0), (4, 3), (5,), (1, 2), (3,), (6,), (3, 0), (2,), (6,))",149.285,387.0512,536.3362,3325.71465887356,4208.01874125389,496.479312849939,1628.71870342481,2125.19801627474
google,GGGGLGBBGLB,"((1, 7), (3, 4), (4, 0), (3, 0), (5,), (1, 5), (3,), (7,), (4, 4), (5,), (0,))",149.171,387.1145,536.2855,3337.31503356649,4210.04176081699,497.830620872147,1629.76821121779,2127.59883208994
google,GGGGLGBBGLB,"((3, 4), (2, 6), (2, 4), (3, 6), (4,), (3, 3), (4,), (0,), (2, 7), (2,), (7,))",148.31,388.3403,536.6503,3332.70701355173,4211.23849491239,494.273777179858,1635.39362048583,2129.66739766568
