Time,Power
24049.3834299584,3811.78707492198
5342.32136296907,3612.58900144807
14490.8921336476,4116.18822877034
5356.05552463796,3615.47213706571
10023.0597038978,4652.98170565052
11788.7694018,3601.36778322959
13071.7344380402,3610.22687812084
8736.84062075837,3778.12236632632
10730.009009348,3755.58624632194
9720.33090802491,3957.75882387953
7351.03444934428,4155.46221491599
9217.82879906093,4292.02039262983
16277.2751348,3472.12982167063
17498.4476784102,3455.66432916864
11644.4191162776,3563.283757195
15481.1915297485,3513.91525867995
11175.3096815089,3610.7647793823
15325.159098602,3576.4901478178
