Time,Power
161.5509129218411,3461.1084158635826
205.68902661611568,3310.0176726610343
163.31287452481084,3466.7933636604857
206.40657624999997,3309.830953277075
165.24517806314253,3521.4603805528486
253.09615624999995,3290.339332840551
538.7633288766755,3261.9235389701707
230.21109854144703,3302.6272391777616
376.9600322391048,3323.656462037267
221.21593124295347,3313.7974762903095
303.71112734107,3409.809159169134
214.51198785099197,3315.615007696204
268.4921848304257,3540.94738085992
262.80535624999993,3293.020600394125
561.6918198458601,3210.5319930152214
236.33729710059285,3295.7562529722086
479.57904296393014,3252.8162986616517
233.69350086559282,3300.410124829234
456.0660957754602,3302.6215138686407
