Time,Power
20439.87286167802,3885.3888869453617
3896.7820888908104,3508.036220149501
10880.268332813152,4356.8692790101895
3901.6931468431394,3507.787585540989
6405.666121176253,5375.750485877186
6400.593643169999,3568.484422223339
12520.04674398451,3680.7849145857485
5227.620685326666,3683.0251845045755
9006.897220658584,3969.26767477155
7523.505547170126,4390.5987980545215
4735.264349447408,3910.982131843034
6792.688301983126,5091.781134518818
7645.523577169999,3503.3268912849335
19324.37377370581,3438.5806008586924
6269.037005459584,3555.4560084440855
15976.546319198666,3528.3524077151837
6081.989674498644,3589.1053307953284
15663.648743051628,3618.7725941739036
