Time,Power
18134.8438144968,3939.75441618769
2418.14730462572,3438.05052664287
8574.13384361226,4598.89389530315
2420.03917068,3437.74059166668
4098.28271874781,6461.2485980093
2957.85941568,3451.10854395444
11593.2194655418,3761.9831948238
2713.38354147101,3490.73157245425
7596.34926466446,4191.32048981121
5934.14899366151,4877.87474667403
2594.8077980739,3559.57104248843
5114.98857465866,6046.9604596587
3267.68219668,3422.54376303121
19246.9515447811,3453.42016216809
2953.41271874934,3444.11363590503
15433.4332938827,3562.62417653699
2937.52367926008,3453.60389452397
15010.875533342,3674.52991320075
